indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
0,0.000000,333,25.690619,
1,0.002776,329,103.398470,
2,0.005552,324,199.758890,
3,0.008328,322,271.615832,
4,0.011104,320,311.814702,
5,0.013880,319,326.584061,
6,0.016656,318,323.974815,
7,0.019432,317,311.488303,
8,0.022208,318,296.618330,
9,0.024984,317,285.607228,
10,0.027760,317,280.698714,
11,0.030536,319,279.751427,
12,0.033312,321,278.763788,
13,0.036088,322,275.199869,
14,0.038864,323,269.924209,
15,0.041640,323,265.875089,
16,0.044416,321,264.529391,
17,0.047192,320,264.181766,
18,0.049968,321,261.919145,
19,0.052744,322,256.615096,
20,0.055520,321,249.846364,
21,0.058296,320,244.392374,
22,0.061072,319,241.740924,
23,0.063848,316,240.446099,
24,0.066624,314,237.382487,
25,0.069400,315,231.218218,
26,0.072176,317,223.974806,
27,0.074952,314,218.585505,
28,0.077728,308,215.581330,
29,0.080504,299,212.512778,
30,0.083280,285,205.691665,
31,0.086056,270,192.947747,
32,0.088832,262,176.129249,
33,0.091608,263,160.566893,
34,0.094384,275,151.525215,
35,0.097160,300,151.640608,
36,0.099936,326,160.480544,
37,0.102712,350,175.390184,
38,0.105488,368,193.474527,
39,0.108264,384,212.792994,
40,0.111040,402,232.187332,
41,0.113816,418,250.305029,
42,0.116592,431,265.112464,
43,0.119368,436,274.940415,
44,0.122144,429,279.086132,
45,0.124920,414,277.385275,
46,0.127696,394,269.692418,
47,0.130472,369,255.291306,
48,0.133248,343,233.427737,
49,0.136024,320,205.313742,
50,0.138800,303,175.073429,
51,0.141576,291,147.924327,
52,0.144352,283,127.116194,
53,0.147128,275,112.296517,
54,0.149904,269,100.750227,
55,0.152680,268,90.616056,
56,0.155456,272,82.719670,
57,0.158232,281,79.358973,
58,0.161008,294,81.948637,
59,0.163784,306,89.481963,
60,0.166560,314,98.798971,
61,0.169336,319,106.738588,
62,0.172112,321,112.070142,
63,0.174888,320,115.162359,
64,0.177664,321,116.686941,
65,0.180440,323,116.969875,
66,0.183216,324,115.814081,
67,0.185992,323,113.002706,
68,0.188768,323,109.242359,
69,0.191544,323,106.025404,
70,0.194320,322,104.096837,
71,0.197096,321,102.637198,
72,0.199872,322,100.406318,
73,0.202648,323,97.165172,
74,0.205424,323,93.735932,
75,0.208200,324,91.247146,
76,0.210976,323,90.084863,
77,0.213752,323,89.346287,
78,0.216528,323,87.771633,
79,0.219304,323,84.912893,
80,0.222080,322,81.383151,
81,0.224856,323,78.386878,
82,0.227632,323,76.680338,
83,0.230408,323,75.720740,
84,0.233184,323,74.282829,
85,0.235960,323,71.773668,
86,0.238736,323,68.716774,
87,0.241512,324,66.240006,
88,0.244288,325,65.018700,
89,0.247064,324,64.455619,
90,0.249840,324,63.256140,
91,0.252616,323,60.808484,
92,0.255392,323,57.639931,
93,0.258168,322,54.777283,
94,0.260944,321,52.680694,
95,0.263720,323,51.109733,
96,0.266496,323,49.559942,
97,0.269272,324,47.607707,
98,0.272048,325,45.551510,
99,0.274824,325,44.085873,
100,0.277600,323,43.200067,
101,0.280376,321,42.018813,
102,0.283152,320,39.718443,
103,0.285928,319,36.282342,
104,0.288704,318,32.425850,
105,0.291480,318,29.131866,
106,0.294256,318,26.980044,
107,0.297032,318,25.657581,
108,0.299808,318,24.328147,
109,0.302584,318,22.477961,
110,0.305360,317,20.249019,
111,0.308136,317,18.181892,
112,0.310912,317,16.708463,
113,0.313688,317,15.652073,
114,0.316464,317,14.400842,
115,0.319240,317,12.608869,
116,0.322016,316,10.470483,
117,0.324792,316,8.496374,
118,0.327568,314,6.930081,
119,0.330344,313,5.371116,
120,0.333120,312,3.294680,
121,0.335896,311,0.583319,
122,0.338672,310,-2.398080,
123,0.341448,309,-5.054193,
124,0.344224,308,-7.088659,
125,0.347000,307,-8.764849,
126,0.349776,306,-10.631110,
127,0.352552,305,-12.983566,
128,0.355328,305,-15.517273,
129,0.358104,303,-17.726453,
130,0.360880,302,-19.518280,
131,0.363656,301,-21.143761,
132,0.366432,301,-22.897927,
133,0.369208,300,-24.917997,
134,0.371984,299,-27.087096,
135,0.374760,298,-29.081162,
136,0.377536,297,-30.678110,
137,0.380312,296,-32.062086,
138,0.383088,297,-33.497849,
139,0.385864,297,-34.973287,
140,0.388640,297,-36.325659,
141,0.391416,297,-37.321750,
142,0.394192,298,-37.760264,
143,0.396968,299,-37.720017,
144,0.399744,300,-37.577823,
145,0.402520,303,-37.488372,
146,0.405296,306,-37.053195,
147,0.408072,310,-35.742896,
148,0.410848,312,-33.506909,
149,0.413624,315,-30.894081,
150,0.416400,318,-28.477099,
151,0.419176,319,-26.627264,
152,0.421952,321,-25.443464,
153,0.424728,323,-24.529086,
154,0.427504,326,-23.377841,
155,0.430280,329,-21.826539,
156,0.433056,332,-20.082807,
157,0.435832,336,-18.321615,
158,0.438608,338,-16.518003,
159,0.441384,341,-14.631113,
160,0.444160,344,-12.573380,
161,0.446936,345,-10.551810,
162,0.449712,346,-9.150011,
163,0.452488,347,-8.647662,
164,0.455264,347,-8.852174,
165,0.458040,347,-9.439853,
166,0.460816,347,-10.151496,
167,0.463592,348,-10.857258,
168,0.466368,349,-11.528520,
169,0.469144,350,-12.173271,
170,0.471920,350,-12.789767,
171,0.474696,351,-13.285634,
172,0.477472,350,-13.653055,
173,0.480248,350,-14.168722,
174,0.483024,350,-15.055569,
175,0.485800,351,-16.208488,
176,0.488576,351,-17.347012,
177,0.491352,351,-18.281179,
178,0.494128,351,-18.986181,
179,0.496904,352,-19.511910,
180,0.499680,352,-20.012502,
181,0.502456,352,-20.719042,
182,0.505232,351,-21.736679,
183,0.508008,350,-23.002349,
184,0.510784,348,-24.479084,
185,0.513560,347,-26.225640,
186,0.516336,348,-28.090589,
187,0.519112,348,-29.750481,
188,0.521888,347,-31.156572,
189,0.524664,349,-32.206515,
190,0.527440,349,-32.644613,
191,0.530216,350,-32.632213,
192,0.532992,350,-32.598291,
193,0.535768,351,-32.792406,
194,0.538544,349,-33.329419,
195,0.541320,347,-34.387503,
196,0.544096,346,-35.936482,
197,0.546872,347,-37.557204,
198,0.549648,346,-38.981460,
199,0.552424,346,-40.321679,
200,0.555200,346,-41.563251,
201,0.557976,346,-42.497194,
202,0.560752,345,-43.142623,
203,0.563528,345,-43.744090,
204,0.566304,345,-44.469331,
205,0.569080,345,-45.335723,
206,0.571856,345,-46.235545,
207,0.574632,345,-46.974275,
208,0.577408,344,-47.529305,
209,0.580184,345,-48.007289,
210,0.582960,344,-48.525582,
211,0.585736,345,-49.186704,
212,0.588512,345,-49.844956,
213,0.591288,344,-50.392433,
214,0.594064,344,-50.901726,
215,0.596840,344,-51.382699,
216,0.599616,344,-51.894862,
217,0.602392,345,-52.445123,
218,0.605168,344,-52.970050,
219,0.607944,343,-53.557717,
220,0.610720,341,-54.371948,
221,0.613496,340,-55.522802,
222,0.616272,340,-56.912412,
223,0.619048,341,-58.196925,
224,0.621824,342,-59.001296,
225,0.624600,343,-59.126333,
226,0.627376,343,-58.694562,
227,0.630152,343,-58.112790,
228,0.632928,343,-57.779920,
229,0.635704,342,-57.939140,
230,0.638480,341,-58.657667,
231,0.641256,340,-59.744107,
232,0.644032,339,-60.916507,
233,0.646808,339,-61.982172,
234,0.649584,339,-62.850753,
235,0.652360,340,-63.474277,
236,0.655136,342,-63.650647,
237,0.657912,344,-63.104931,
238,0.660688,345,-61.880742,
239,0.663464,344,-60.537655,
240,0.666240,344,-59.727926,
241,0.669016,345,-59.532595,
242,0.671792,344,-59.712532,
243,0.674568,343,-60.212932,
244,0.677344,343,-60.900316,
245,0.680120,345,-61.345702,
246,0.682896,345,-61.312666,
247,0.685672,344,-61.176257,
248,0.688448,342,-61.484099,
249,0.691224,340,-62.440861,
250,0.694000,339,-63.844700,
251,0.696776,340,-65.189108,
252,0.699552,341,-66.005963,
253,0.702328,342,-66.191459,
254,0.705104,342,-65.940936,
255,0.707880,342,-65.511668,
256,0.710656,341,-65.145583,
257,0.713432,340,-65.111611,
258,0.716208,339,-65.591550,
259,0.718984,339,-66.480028,
260,0.721760,338,-67.491155,
261,0.724536,338,-68.369461,
262,0.727312,338,-68.906456,
263,0.730088,340,-68.925935,
264,0.732864,342,-68.315129,
265,0.735640,342,-67.300710,
266,0.738416,342,-66.368886,
267,0.741192,342,-65.724492,
268,0.743968,342,-65.293261,
269,0.746744,342,-65.030427,
270,0.749520,341,-65.051375,
271,0.752296,342,-65.363912,
272,0.755072,342,-65.672592,
273,0.757848,343,-65.687572,
274,0.760624,343,-65.335960,
275,0.763400,342,-64.900296,
276,0.766176,341,-64.835333,
277,0.768952,340,-65.322290,
278,0.771728,339,-66.221353,
279,0.774504,340,-67.112839,
280,0.777280,339,-67.636419,
281,0.780056,339,-67.873411,
282,0.782832,338,-68.082937,
283,0.785608,338,-68.406009,
284,0.788384,339,-68.681009,
285,0.791160,341,-68.496661,
286,0.793936,340,-67.811117,
287,0.796712,340,-67.088836,
288,0.799488,340,-66.631234,
289,0.802264,340,-66.425181,
290,0.805040,338,-66.543184,
291,0.807816,336,-67.181814,
292,0.810592,334,-68.361464,
293,0.813368,335,-69.682010,
294,0.816144,337,-70.447811,
295,0.818920,338,-70.304965,
296,0.821696,338,-69.548368,
297,0.824472,339,-68.569268,
298,0.827248,340,-67.457724,
299,0.830024,339,-66.394101,
300,0.832800,337,-65.892816,
301,0.835576,336,-66.245408,
302,0.838352,337,-67.036952,
303,0.841128,337,-67.607801,
304,0.843904,338,-67.664136,
305,0.846680,339,-67.184202,
306,0.849456,339,-66.366289,
307,0.852232,339,-65.577496,
308,0.855008,337,-65.172251,
309,0.857784,337,-65.282908,
310,0.860560,335,-65.773031,
311,0.863336,335,-66.484754,
312,0.866112,334,-67.242807,
313,0.868888,333,-67.980908,
314,0.871664,333,-68.656345,
315,0.874440,334,-68.998535,
316,0.877216,334,-68.839018,
317,0.879992,335,-68.290494,
318,0.882768,333,-67.701245,
319,0.885544,332,-67.532798,
320,0.888320,331,-67.883230,
321,0.891096,332,-68.373352,
322,0.893872,332,-68.588591,
323,0.896648,331,-68.554658,
324,0.899424,330,-68.592817,
325,0.902200,330,-68.780431,
326,0.904976,331,-68.851983,
327,0.907752,332,-68.520504,
328,0.910528,333,-67.747104,
329,0.913304,333,-66.738785,
330,0.916080,333,-65.785863,
331,0.918856,333,-65.038645,
332,0.921632,333,-64.492148,
333,0.924408,335,-63.952076,
334,0.927184,336,-63.136952,
335,0.929960,337,-62.028614,
336,0.932736,336,-60.915006,
337,0.935512,335,-60.182992,
338,0.938288,333,-60.090205,
339,0.941064,331,-60.724538,
340,0.943840,331,-61.851388,
341,0.946616,332,-62.843541,
342,0.949392,333,-63.162555,
343,0.952168,333,-62.768854,
344,0.954944,332,-62.077638,
345,0.957720,332,-61.510491,
346,0.960496,332,-61.158082,
347,0.963272,332,-60.949122,
348,0.966048,331,-60.880446,
349,0.968824,331,-60.932194,
350,0.971600,330,-61.015388,
351,0.974376,329,-61.171930,
352,0.977152,328,-61.517947,
353,0.979928,329,-61.918436,
354,0.982704,330,-61.989251,
355,0.985480,331,-61.492953,
356,0.988256,330,-60.631068,
357,0.991032,329,-59.895475,
358,0.993808,327,-59.696667,
359,0.996584,327,-60.067294,
360,0.999360,328,-60.551938,
361,1.002136,330,-60.535095,
362,1.004912,331,-59.741968,
363,1.007688,332,-58.355822,
364,1.010464,332,-56.792969,
365,1.013240,332,-55.464305,
366,1.016016,331,-54.650076,
367,1.018792,331,-54.378238,
368,1.021568,332,-54.302358,
369,1.024344,333,-53.965539,
370,1.027120,331,-53.429506,
371,1.029896,329,-53.261201,
372,1.032672,328,-53.727011,
373,1.035448,327,-54.580644,
374,1.038224,326,-55.529160,
375,1.041000,327,-56.260877,
376,1.043776,327,-56.473906,
377,1.046552,329,-56.055073,
378,1.049328,330,-55.012657,
379,1.052104,331,-53.560443,
380,1.054880,330,-52.146895,
381,1.057656,331,-51.076655,
382,1.060432,333,-50.120035,
383,1.063208,335,-48.861438,
384,1.065984,337,-47.184248,
385,1.068760,338,-45.255183,
386,1.071536,338,-43.429511,
387,1.074312,339,-41.947328,
388,1.077088,340,-40.726656,
389,1.079864,341,-39.616604,
390,1.082640,343,-38.476965,
391,1.085416,344,-37.178591,
392,1.088192,344,-35.843824,
393,1.090968,344,-34.735274,
394,1.093744,344,-33.967962,
395,1.096520,343,-33.599943,
396,1.099296,342,-33.718679,
397,1.102072,340,-34.349521,
398,1.104848,337,-35.527352,
399,1.107624,335,-37.206998,
400,1.110400,333,-39.137146,
401,1.113176,332,-41.028034,
402,1.115952,329,-42.811068,
403,1.118728,326,-44.702672,
404,1.121504,323,-46.840641,
405,1.124280,322,-49.000130,
406,1.127056,321,-50.798212,
407,1.129832,322,-51.948464,
408,1.132608,322,-52.339132,
409,1.135384,324,-51.975170,
410,1.138160,322,-51.108310,
411,1.140936,321,-50.346366,
412,1.143712,320,-50.068906,
413,1.146488,320,-50.182604,
414,1.149264,320,-50.424641,
415,1.152040,320,-50.555250,
416,1.154816,321,-50.364570,
417,1.157592,321,-49.741154,
418,1.160368,321,-48.875451,
419,1.163144,322,-47.985879,
420,1.165920,322,-47.140845,
421,1.168696,320,-46.575526,
422,1.171472,319,-46.531810,
423,1.174248,319,-46.801957,
424,1.177024,317,-47.151447,
425,1.179800,315,-47.770311,
426,1.182576,314,-48.761682,
427,1.185352,313,-49.862631,
428,1.188128,309,-51.027949,
429,1.190904,303,-52.788488,
430,1.193680,295,-55.851423,
431,1.196456,283,-60.888212,
432,1.199232,270,-68.412431,
433,1.202008,263,-77.805224,
434,1.204784,265,-86.631243,
435,1.207560,279,-91.323484,
436,1.210336,305,-88.358994,
437,1.213112,332,-75.976641,
438,1.215888,355,-55.697023,
439,1.218664,373,-31.473566,
440,1.221440,389,-7.300614,
441,1.224216,407,14.620177,
442,1.226992,421,33.737824,
443,1.229768,430,49.669753,
444,1.232544,432,61.659706,
445,1.235320,425,68.664139,
446,1.238096,410,69.422414,
447,1.240872,390,63.032311,
448,1.243648,366,49.502836,
449,1.246424,341,29.884168,
450,1.249200,317,6.221684,
451,1.251976,298,-18.677276,
452,1.254752,285,-41.789377,
453,1.257528,276,-60.856604,
454,1.260304,268,-75.240414,
455,1.263080,263,-85.534022,
456,1.265856,264,-92.132396,
457,1.268632,271,-94.533526,
458,1.271408,281,-92.158743,
459,1.274184,294,-85.220200,
460,1.276960,305,-74.856605,
461,1.279736,313,-62.973232,
462,1.282512,316,-51.725752,
463,1.285288,317,-42.795273,
464,1.288064,317,-36.866641,
465,1.290840,318,-33.632421,
466,1.293616,318,-32.302216,
467,1.296392,318,-32.095053,
468,1.299168,318,-32.305379,
469,1.301944,318,-32.360751,
470,1.304720,319,-31.973434,
471,1.307496,319,-31.223057,
472,1.310272,319,-30.496266,
473,1.313048,319,-30.046382,
474,1.315824,318,-29.839552,
475,1.318600,318,-29.712575,
476,1.321376,318,-29.469737,
477,1.324152,319,-29.038018,
478,1.326928,319,-28.520107,
479,1.329704,318,-28.163996,
480,1.332480,317,-28.123142,
481,1.335256,317,-28.211452,
482,1.338032,316,-28.223316,
483,1.340808,317,-28.151380,
484,1.343584,318,-27.922952,
485,1.346360,318,-27.498226,
486,1.349136,318,-26.957553,
487,1.351912,318,-26.306703,
488,1.354688,317,-25.646812,
489,1.357464,316,-25.297638,
490,1.360240,317,-25.339385,
491,1.363016,318,-25.388872,
492,1.365792,319,-25.036369,
493,1.368568,320,-24.122365,
494,1.371344,320,-22.812479,
495,1.374120,320,-21.549789,
496,1.376896,319,-20.771964,
497,1.379672,319,-20.604930,
498,1.382448,319,-20.741061,
499,1.385224,318,-20.854080,
500,1.388000,317,-20.948747,
501,1.390776,316,-21.182055,
502,1.393552,315,-21.674762,
503,1.396328,314,-22.424716,
504,1.399104,314,-23.201496,
505,1.401880,314,-23.650482,
506,1.404656,314,-23.627830,
507,1.407432,314,-23.288402,
508,1.410208,314,-22.881905,
509,1.412984,315,-22.478748,
510,1.415760,315,-21.973947,
511,1.418536,316,-21.277493,
512,1.421312,315,-20.463180,
