indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
0,0.000000,345,26.618576,
1,0.002776,344,107.377704,
2,0.005552,345,208.438392,
3,0.008328,346,285.508867,
4,0.011104,345,330.489590,
5,0.013880,343,348.667984,
6,0.016656,342,347.714069,
7,0.019432,342,335.543048,
8,0.022208,342,320.284381,
9,0.024984,343,308.695035,
10,0.027760,344,303.582636,
11,0.030536,345,302.846753,
12,0.033312,345,301.864134,
13,0.036088,345,297.640483,
14,0.038864,344,291.051881,
15,0.041640,344,285.349260,
16,0.044416,343,282.596526,
17,0.047192,342,281.493385,
18,0.049968,341,278.830295,
19,0.052744,341,272.923131,
20,0.055520,341,265.344595,
21,0.058296,341,259.323751,
22,0.061072,341,256.605373,
23,0.063848,340,255.780542,
24,0.066624,340,253.736971,
25,0.069400,341,248.886535,
26,0.072176,342,242.652451,
27,0.074952,343,237.904015,
28,0.077728,342,236.028741,
29,0.080504,340,235.425930,
30,0.083280,339,233.152732,
31,0.086056,338,227.826963,
32,0.088832,337,220.752687,
33,0.091608,337,214.682602,
34,0.094384,337,211.354527,
35,0.097160,337,209.919722,
36,0.099936,338,208.014904,
37,0.102712,338,204.176963,
38,0.105488,339,199.158055,
39,0.108264,340,195.153047,
40,0.111040,341,193.518032,
41,0.113816,340,193.214564,
42,0.116592,340,191.827401,
43,0.119368,340,188.068069,
44,0.122144,340,182.891185,
45,0.124920,340,178.409340,
46,0.127696,339,175.824220,
47,0.130472,338,174.275987,
48,0.133248,336,171.739606,
49,0.136024,336,167.112147,
50,0.138800,336,161.411501,
51,0.141576,336,156.683205,
52,0.144352,336,154.033404,
53,0.147128,337,152.818627,
54,0.149904,338,151.410465,
55,0.152680,338,148.656557,
56,0.155456,336,144.708285,
57,0.158232,335,140.743557,
58,0.161008,334,137.796077,
59,0.163784,334,135.644947,
60,0.166560,334,133.115542,
61,0.169336,334,129.425084,
62,0.172112,333,125.014204,
63,0.174888,333,121.170202,
64,0.177664,333,118.808235,
65,0.180440,334,117.548560,
66,0.183216,333,115.988244,
67,0.185992,333,113.050893,
68,0.188768,333,109.176044,
69,0.191544,333,105.779266,
70,0.194320,334,103.791630,
71,0.197096,335,102.898704,
72,0.199872,337,101.972608,
73,0.202648,338,100.239888,
74,0.205424,337,97.799723,
75,0.208200,336,95.319223,
76,0.210976,334,93.258754,
77,0.213752,332,91.156978,
78,0.216528,330,88.023891,
79,0.219304,330,83.570798,
80,0.222080,330,78.759738,
81,0.224856,331,75.032399,
82,0.227632,331,73.074126,
83,0.230408,332,72.291169,
84,0.233184,331,71.338171,
85,0.235960,332,69.311074,
86,0.238736,331,66.493629,
87,0.241512,331,63.807993,
88,0.244288,331,61.924231,
89,0.247064,332,60.737698,
90,0.249840,332,59.463534,
91,0.252616,332,57.423029,
92,0.255392,331,54.711851,
93,0.258168,329,51.933783,
94,0.260944,327,49.434732,
95,0.263720,328,47.172850,
96,0.266496,328,44.890209,
97,0.269272,328,42.266454,
98,0.272048,328,39.465028,
99,0.274824,329,37.239640,
100,0.277600,329,36.076122,
101,0.280376,329,35.512012,
102,0.283152,329,34.589458,
103,0.285928,328,32.702772,
104,0.288704,327,30.000290,
105,0.291480,327,27.296149,
106,0.294256,327,25.328054,
107,0.297032,329,24.166039,
108,0.299808,331,23.428663,
109,0.302584,332,22.667670,
110,0.305360,330,21.549534,
111,0.308136,329,20.059636,
112,0.310912,327,18.401282,
113,0.313688,327,16.568967,
114,0.316464,326,14.323745,
115,0.319240,327,11.636041,
116,0.322016,328,9.089236,
117,0.324792,330,7.536186,
118,0.327568,332,7.371208,
119,0.330344,336,8.341817,
120,0.333120,338,9.732830,
121,0.335896,339,10.689342,
122,0.338672,338,10.751822,
123,0.341448,338,10.116899,
124,0.344224,336,9.120650,
125,0.347000,336,7.731262,
126,0.349776,334,5.681756,
127,0.352552,334,2.902241,
128,0.355328,334,-0.046460,
129,0.358104,334,-2.367185,
130,0.360880,335,-3.692928,
131,0.363656,336,-4.214384,
132,0.366432,336,-4.600929,
133,0.369208,335,-5.545687,
134,0.371984,334,-7.190205,
135,0.374760,332,-9.188153,
136,0.377536,329,-11.370383,
137,0.380312,327,-13.927603,
138,0.383088,324,-17.115716,
139,0.385864,322,-20.968728,
140,0.388640,319,-25.117136,
141,0.391416,318,-28.933823,
142,0.394192,317,-31.895958,
143,0.396968,318,-33.905203,
144,0.399744,318,-35.270402,
145,0.402520,319,-36.359139,
146,0.405296,319,-37.241401,
147,0.408072,320,-37.729274,
148,0.410848,320,-37.750896,
149,0.413624,321,-37.572148,
150,0.416400,320,-37.697570,
151,0.419176,319,-38.568793,
152,0.421952,317,-40.202624,
153,0.424728,317,-42.107428,
154,0.427504,317,-43.669592,
155,0.430280,317,-44.747843,
156,0.433056,318,-45.593345,
157,0.435832,318,-46.380154,
158,0.438608,317,-47.202368,
159,0.441384,316,-48.084804,
160,0.444160,312,-49.236464,
161,0.446936,310,-51.091650,
162,0.449712,309,-53.650230,
163,0.452488,305,-56.698459,
164,0.455264,298,-60.482469,
165,0.458040,288,-65.542237,
166,0.460816,275,-72.477087,
167,0.463592,261,-81.793711,
168,0.466368,248,-93.444012,
169,0.469144,245,-105.901509,
170,0.471920,251,-115.874548,
171,0.474696,272,-119.338856,
172,0.477472,301,-113.057815,
173,0.480248,328,-96.708605,
174,0.483024,353,-73.358332,
175,0.485800,375,-47.178180,
176,0.488576,396,-21.362385,
177,0.491352,415,2.409676,
178,0.494128,429,23.241476,
179,0.496904,437,40.152473,
180,0.499680,436,51.885830,
181,0.502456,426,57.053866,
182,0.505232,409,54.647829,
183,0.508008,386,44.470859,
184,0.510784,360,27.155201,
185,0.513560,337,4.439630,
186,0.516336,318,-20.742280,
187,0.519112,304,-45.114265,
188,0.521888,293,-66.164164,
189,0.524664,282,-82.968022,
190,0.527440,273,-96.065103,
191,0.530216,268,-106.234183,
192,0.532992,267,-113.654877,
193,0.535768,272,-117.863046,
194,0.538544,280,-118.152571,
195,0.541320,292,-114.167503,
196,0.544096,301,-106.475314,
197,0.546872,306,-96.977607,
198,0.549648,308,-88.129163,
199,0.552424,309,-81.564153,
200,0.555200,309,-77.672655,
201,0.557976,309,-75.999831,
202,0.560752,308,-75.828349,
203,0.563528,308,-76.484800,
204,0.566304,308,-77.367385,
205,0.569080,308,-78.093538,
206,0.571856,308,-78.562131,
207,0.574632,309,-78.731275,
208,0.577408,308,-78.676096,
209,0.580184,309,-78.572448,
210,0.582960,309,-78.424552,
211,0.585736,309,-78.251748,
212,0.588512,308,-78.224220,
213,0.591288,307,-78.506915,
214,0.594064,306,-79.132730,
215,0.596840,305,-80.005004,
216,0.599616,305,-80.937568,
217,0.602392,306,-81.611128,
218,0.605168,307,-81.748546,
219,0.607944,308,-81.322280,
220,0.610720,309,-80.483728,
221,0.613496,309,-79.494101,
222,0.616272,306,-78.899141,
223,0.619048,304,-79.256213,
224,0.621824,303,-80.476619,
225,0.624600,303,-81.945985,
226,0.627376,304,-83.043500,
227,0.630152,304,-83.483867,
228,0.632928,304,-83.418321,
229,0.635704,305,-83.041279,
230,0.638480,304,-82.529259,
231,0.641256,304,-82.173111,
232,0.644032,303,-82.129593,
233,0.646808,303,-82.354379,
234,0.649584,302,-82.723724,
235,0.652360,300,-83.279519,
236,0.655136,298,-84.204717,
237,0.657912,297,-85.460524,
238,0.660688,297,-86.711696,
239,0.663464,298,-87.528855,
240,0.666240,298,-87.714371,
241,0.669016,298,-87.436342,
242,0.671792,297,-87.034140,
243,0.674568,297,-86.759583,
244,0.677344,297,-86.624976,
245,0.680120,296,-86.621753,
246,0.682896,295,-86.852392,
247,0.685672,294,-87.315799,
248,0.688448,293,-87.902798,
249,0.691224,293,-88.461481,
250,0.694000,292,-88.902818,
251,0.696776,292,-89.255418,
252,0.699552,290,-89.618107,
253,0.702328,288,-90.210484,
254,0.705104,287,-91.085174,
